./dataset_depth/meccano/train_videofolder.txt ./dataset_depth/meccano/val_videofolder.txt ./dataset_depth/meccano/test_videofolder.txt

    Initializing Video Model with backbone: wide_resnet101_2.
    Model Configurations:
                        GSF:                True
                        Channel ratio:      100.0
                        num_segments:       8
                        consensus_module:   avg
                        dropout_ratio:      0.5
            
No. of GSF modules = 33

    Initializing Video Model with backbone: wide_resnet101_2.
    Model Configurations:
                        GSF:                True
                        Channel ratio:      100.0
                        num_segments:       8
                        consensus_module:   avg
                        dropout_ratio:      0.5
            
No. of GSF modules = 33
video number:2821
video number:2821
video 0 done, total 1/2821, average 2.246 sec/video, moving Acc@1 0.000 Acc@5 100.000
video 1 done, total 2/2821, average 2.361 sec/video, moving Acc@1 50.000 Acc@5 100.000
video 2 done, total 3/2821, average 1.668 sec/video, moving Acc@1 66.667 Acc@5 100.000
video 3 done, total 4/2821, average 1.321 sec/video, moving Acc@1 75.000 Acc@5 100.000
video 4 done, total 5/2821, average 1.114 sec/video, moving Acc@1 80.000 Acc@5 100.000
video 5 done, total 6/2821, average 0.975 sec/video, moving Acc@1 83.333 Acc@5 100.000
video 6 done, total 7/2821, average 0.876 sec/video, moving Acc@1 85.714 Acc@5 100.000
video 7 done, total 8/2821, average 0.802 sec/video, moving Acc@1 87.500 Acc@5 100.000
video 8 done, total 9/2821, average 0.744 sec/video, moving Acc@1 77.778 Acc@5 100.000
video 9 done, total 10/2821, average 0.698 sec/video, moving Acc@1 70.000 Acc@5 90.000
video 10 done, total 11/2821, average 0.660 sec/video, moving Acc@1 63.636 Acc@5 81.818
video 11 done, total 12/2821, average 0.629 sec/video, moving Acc@1 58.333 Acc@5 83.333
video 12 done, total 13/2821, average 0.602 sec/video, moving Acc@1 61.538 Acc@5 84.615
video 13 done, total 14/2821, average 0.579 sec/video, moving Acc@1 57.143 Acc@5 85.714
video 14 done, total 15/2821, average 0.559 sec/video, moving Acc@1 60.000 Acc@5 86.667
video 15 done, total 16/2821, average 0.542 sec/video, moving Acc@1 56.250 Acc@5 87.500
video 16 done, total 17/2821, average 0.527 sec/video, moving Acc@1 58.824 Acc@5 88.235
video 17 done, total 18/2821, average 0.513 sec/video, moving Acc@1 55.556 Acc@5 88.889
video 18 done, total 19/2821, average 0.501 sec/video, moving Acc@1 52.632 Acc@5 89.474
video 19 done, total 20/2821, average 0.490 sec/video, moving Acc@1 50.000 Acc@5 90.000
video 20 done, total 21/2821, average 0.480 sec/video, moving Acc@1 52.381 Acc@5 90.476
video 21 done, total 22/2821, average 0.471 sec/video, moving Acc@1 54.545 Acc@5 90.909
video 22 done, total 23/2821, average 0.463 sec/video, moving Acc@1 52.174 Acc@5 91.304
video 23 done, total 24/2821, average 0.456 sec/video, moving Acc@1 50.000 Acc@5 87.500
video 24 done, total 25/2821, average 0.449 sec/video, moving Acc@1 52.000 Acc@5 88.000
video 25 done, total 26/2821, average 0.442 sec/video, moving Acc@1 50.000 Acc@5 84.615
video 26 done, total 27/2821, average 0.436 sec/video, moving Acc@1 48.148 Acc@5 85.185
video 27 done, total 28/2821, average 0.431 sec/video, moving Acc@1 46.429 Acc@5 82.143
video 28 done, total 29/2821, average 0.426 sec/video, moving Acc@1 44.828 Acc@5 79.310
video 29 done, total 30/2821, average 0.421 sec/video, moving Acc@1 46.667 Acc@5 80.000
video 30 done, total 31/2821, average 0.416 sec/video, moving Acc@1 45.161 Acc@5 77.419
video 31 done, total 32/2821, average 0.412 sec/video, moving Acc@1 43.750 Acc@5 78.125
video 32 done, total 33/2821, average 0.408 sec/video, moving Acc@1 45.455 Acc@5 78.788
video 33 done, total 34/2821, average 0.404 sec/video, moving Acc@1 47.059 Acc@5 79.412
video 34 done, total 35/2821, average 0.401 sec/video, moving Acc@1 48.571 Acc@5 80.000
video 35 done, total 36/2821, average 0.398 sec/video, moving Acc@1 50.000 Acc@5 80.556
video 36 done, total 37/2821, average 0.394 sec/video, moving Acc@1 48.649 Acc@5 78.378
video 37 done, total 38/2821, average 0.391 sec/video, moving Acc@1 47.368 Acc@5 78.947
video 38 done, total 39/2821, average 0.389 sec/video, moving Acc@1 48.718 Acc@5 79.487
video 39 done, total 40/2821, average 0.386 sec/video, moving Acc@1 47.500 Acc@5 80.000
video 40 done, total 41/2821, average 0.383 sec/video, moving Acc@1 46.341 Acc@5 80.488
video 41 done, total 42/2821, average 0.381 sec/video, moving Acc@1 45.238 Acc@5 80.952
video 42 done, total 43/2821, average 0.379 sec/video, moving Acc@1 44.186 Acc@5 81.395
video 43 done, total 44/2821, average 0.376 sec/video, moving Acc@1 43.182 Acc@5 81.818
video 44 done, total 45/2821, average 0.374 sec/video, moving Acc@1 44.444 Acc@5 82.222
video 45 done, total 46/2821, average 0.372 sec/video, moving Acc@1 45.652 Acc@5 82.609
video 46 done, total 47/2821, average 0.370 sec/video, moving Acc@1 44.681 Acc@5 80.851
video 47 done, total 48/2821, average 0.369 sec/video, moving Acc@1 43.750 Acc@5 81.250
video 48 done, total 49/2821, average 0.367 sec/video, moving Acc@1 42.857 Acc@5 81.633
video 49 done, total 50/2821, average 0.365 sec/video, moving Acc@1 42.000 Acc@5 80.000
video 50 done, total 51/2821, average 0.363 sec/video, moving Acc@1 41.176 Acc@5 78.431
video 51 done, total 52/2821, average 0.362 sec/video, moving Acc@1 40.385 Acc@5 78.846
video 52 done, total 53/2821, average 0.360 sec/video, moving Acc@1 39.623 Acc@5 77.358
video 53 done, total 54/2821, average 0.359 sec/video, moving Acc@1 40.741 Acc@5 77.778
video 54 done, total 55/2821, average 0.358 sec/video, moving Acc@1 40.000 Acc@5 76.364
video 55 done, total 56/2821, average 0.356 sec/video, moving Acc@1 39.286 Acc@5 75.000
video 56 done, total 57/2821, average 0.355 sec/video, moving Acc@1 38.596 Acc@5 75.439
video 57 done, total 58/2821, average 0.354 sec/video, moving Acc@1 37.931 Acc@5 74.138
video 58 done, total 59/2821, average 0.353 sec/video, moving Acc@1 37.288 Acc@5 72.881
video 59 done, total 60/2821, average 0.351 sec/video, moving Acc@1 36.667 Acc@5 71.667
video 60 done, total 61/2821, average 0.350 sec/video, moving Acc@1 36.066 Acc@5 72.131
video 61 done, total 62/2821, average 0.349 sec/video, moving Acc@1 35.484 Acc@5 70.968
video 62 done, total 63/2821, average 0.348 sec/video, moving Acc@1 34.921 Acc@5 71.429
video 63 done, total 64/2821, average 0.347 sec/video, moving Acc@1 35.938 Acc@5 71.875
video 64 done, total 65/2821, average 0.346 sec/video, moving Acc@1 35.385 Acc@5 72.308
video 65 done, total 66/2821, average 0.345 sec/video, moving Acc@1 34.848 Acc@5 71.212
video 66 done, total 67/2821, average 0.344 sec/video, moving Acc@1 35.821 Acc@5 71.642
video 67 done, total 68/2821, average 0.343 sec/video, moving Acc@1 35.294 Acc@5 72.059
video 68 done, total 69/2821, average 0.342 sec/video, moving Acc@1 34.783 Acc@5 71.014
video 69 done, total 70/2821, average 0.342 sec/video, moving Acc@1 34.286 Acc@5 70.000
video 70 done, total 71/2821, average 0.341 sec/video, moving Acc@1 35.211 Acc@5 70.423
video 71 done, total 72/2821, average 0.340 sec/video, moving Acc@1 36.111 Acc@5 70.833
